timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1639410052515,10,Request,200,OK,TG 1-1,text,true,,102714,124,1,1,http://192.168.56.103/100k.txt,10,0,2
1639410052554,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052593,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052634,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052674,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052715,9,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052754,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052794,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052834,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052873,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052914,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052954,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410052994,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053034,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053074,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053115,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053155,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053194,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053234,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053274,5,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410053315,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053354,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053394,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053434,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053474,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053513,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410053553,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410053593,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410053633,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410053674,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410053714,5,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,3,0,0
1639410053715,7,Request,200,OK,TG 1-2,text,true,,102714,124,2,2,http://192.168.56.103/100k.txt,3,0,1
1639410053794,6,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410053794,7,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
1639410053874,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
1639410053874,5,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410053954,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
1639410053954,5,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054034,3,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054034,6,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,4,0,0
1639410054114,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054114,6,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054195,5,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054195,5,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
1639410054274,5,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
1639410054274,5,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054353,5,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
1639410054353,6,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054434,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054435,5,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,3,0,0
1639410054514,4,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054514,5,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,3,0,0
1639410054594,3,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054594,6,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054674,7,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,5,0,0
1639410054674,7,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410054754,4,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
