r;b;swpd;free;buff;cache;si;so;bi;bo;in;cs;us;sy;id;wa;st
4;0;0;3426752;44492;1005580;0;0;379;28;1663;999;20;15;62;3;0
0;0;0;3426744;44492;1005580;0;0;0;0;417;215;0;0;100;0;0
2;0;0;3426744;44492;1005580;0;0;0;0;390;462;4;2;94;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;395;182;1;0;99;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;413;209;1;0;99;0;0
1;0;0;3426744;44492;1005580;0;0;0;0;402;357;2;0;98;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;431;570;2;1;97;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;415;409;2;1;97;0;0
1;0;0;3426744;44492;1005580;0;0;0;0;393;213;1;1;98;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;378;206;1;1;98;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;386;192;1;1;98;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;387;230;3;1;96;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;424;271;2;1;97;0;0
0;0;0;3426744;44492;1005580;0;0;0;0;389;234;2;1;97;0;0
1;0;0;3423768;44492;1005580;0;0;0;0;7886;651;1;63;35;0;0
1;0;0;3424408;44492;1005584;0;0;0;0;8614;633;1;72;27;0;0
1;0;0;3424376;44492;1005584;0;0;0;0;10719;673;0;77;23;0;0
1;0;0;3426616;44492;1005588;0;0;0;0;9537;657;1;77;22;0;0
2;0;0;3424888;44492;1005588;0;0;0;0;9394;667;2;73;25;0;0
0;0;0;3423864;44500;1005592;0;0;0;12;10439;735;2;77;19;2;0
3;0;0;3425944;44500;1005592;0;0;0;0;8738;644;1;74;25;0;0
1;0;0;3422936;44500;1005592;0;0;0;0;9694;1119;4;82;14;0;0
0;0;0;3425784;44500;1005596;0;0;0;0;11024;650;1;72;27;0;0
2;0;0;3423128;44500;1005596;0;0;0;0;13594;642;2;77;21;0;0
1;0;0;3426456;44508;1005600;0;0;0;12;10939;725;4;72;24;0;0
1;0;0;3423992;44508;1005600;0;0;0;0;12960;697;5;78;17;0;0
1;0;0;3421112;44508;1005600;0;0;0;0;11145;768;3;80;17;0;0
2;0;0;3421304;44508;1005604;0;0;0;0;11506;750;1;86;13;0;0
1;0;0;3424552;44508;1005604;0;0;0;0;11977;698;1;85;14;0;0
1;0;0;3420096;44516;1005608;0;0;0;12;10022;726;4;80;14;1;0
2;0;0;3421176;44516;1005608;0;0;0;0;11079;778;3;82;15;0;0
1;0;0;3419520;44516;1005612;0;0;0;0;10826;715;4;79;16;0;0
2;0;0;3421784;44516;1005612;0;0;0;0;10277;813;3;82;15;0;0
0;0;0;3422456;44516;1005616;0;0;0;0;10835;769;2;78;19;0;0
