timeStamp,elapsed,label,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1638813623757,7,HTTP Request 1,TG1 1-1,text,true,51512,123,1,1,6,0,3
1638813623905,27,HTTP Request 10,TG1 1-1,text,true,512313,124,1,1,2,0,0
1638813624054,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,2,0,0
1638813624205,6,HTTP Request 3,TG1 1-1,text,true,153913,124,1,1,2,0,0
1638813624354,11,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,2,0,0
1638813624504,4,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,2,0,0
1638813624654,5,HTTP Request 3,TG1 1-1,text,true,153913,124,1,1,2,0,0
1638813624804,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638813624955,2,HTTP Request 1,TG1 1-1,text,true,51511,123,1,1,1,0,0
1638813625104,15,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,2,0,0
1638813625254,18,HTTP Request 8,TG1 1-1,text,true,409913,124,1,1,2,0,0
1638813625404,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638813625554,5,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,2,0,0
1638813625704,8,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813625854,20,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,5,0,0
1638813626004,37,HTTP Request 10,TG1 1-1,text,true,512313,124,1,1,13,0,0
1638813626155,10,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813626304,4,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,1,0,0
1638813626454,11,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813626605,18,HTTP Request 9,TG1 1-1,text,true,461113,124,1,1,2,0,0
1638813626755,13,HTTP Request 9,TG1 1-1,text,true,461113,124,1,1,1,0,0
1638813626904,29,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813627054,17,HTTP Request 10,TG1 1-1,text,true,512313,124,1,1,1,0,0
1638813627204,13,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,2,0,0
1638813627355,6,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813627504,2,HTTP Request 1,TG1 1-1,text,true,51511,123,1,1,1,0,0
1638813627655,10,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813627805,12,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,1,0,0
1638813627955,23,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,11,0,0
1638813628106,16,HTTP Request 10,TG1 1-1,text,true,512313,124,1,1,1,0,0
1638813628255,3,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,1,0,0
1638813628405,13,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813628555,21,HTTP Request 10,TG1 1-1,text,true,512313,124,1,1,2,0,0
1638813628706,13,HTTP Request 9,TG1 1-1,text,true,461113,124,1,1,1,0,0
1638813628855,2,HTTP Request 1,TG1 1-1,text,true,51511,123,1,1,1,0,0
1638813629005,18,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,1,0,0
1638813629155,7,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,1,0,0
1638813629306,4,HTTP Request 3,TG1 1-1,text,true,153913,124,1,1,1,0,0
1638813629456,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638813629605,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638813629755,13,HTTP Request 8,TG1 1-1,text,true,409913,124,1,1,1,0,0
1638813629905,11,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,1,0,0
1638813630055,14,HTTP Request 10,TG1 1-1,text,true,512313,124,1,1,1,0,0
1638813630206,10,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,0,0,0
1638813630354,7,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,2,0,0
1638813630504,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638813630655,5,HTTP Request 3,TG1 1-1,text,true,153913,124,1,1,1,0,0
1638813630805,4,HTTP Request 3,TG1 1-1,text,true,153913,124,1,1,1,0,0
1638813630956,12,HTTP Request 9,TG1 1-1,text,true,461113,124,1,1,1,0,0
1638813631106,6,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813631255,9,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813631406,9,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813631555,11,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,1,0,0
1638813631706,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,0,0,0
1638813631855,18,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813632006,7,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813632156,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,0,0,0
1638813632305,14,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813632455,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638813632605,12,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,1,0,0
1638813632755,15,HTTP Request 10,TG1 1-1,text,true,512313,124,1,1,2,0,0
1638813632906,12,HTTP Request 8,TG1 1-1,text,true,409913,124,1,1,1,0,0
1638813633055,12,HTTP Request 8,TG1 1-1,text,true,409913,124,1,1,1,0,0
1638813633205,5,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,1,0,0
1638813633356,12,HTTP Request 8,TG1 1-1,text,true,409913,124,1,1,1,0,0
1638813633505,7,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813633656,3,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,1,0,0
1638813633805,4,HTTP Request 3,TG1 1-1,text,true,153913,124,1,1,1,0,0
1638813633955,10,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,1,0,0
1638813634106,11,HTTP Request 8,TG1 1-1,text,true,409913,124,1,1,1,0,0
1638813634255,3,HTTP Request 2,TG1 1-1,text,true,102713,124,1,1,1,0,0
1638813634406,9,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813634555,14,HTTP Request 8,TG1 1-1,text,true,409913,124,1,1,1,0,0
1638813634705,12,HTTP Request 9,TG1 1-1,text,true,461113,124,1,1,1,0,0
1638813634855,16,HTTP Request 7,TG1 1-1,text,true,358713,124,1,1,1,0,0
1638813635006,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638813635155,11,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813635305,9,HTTP Request 6,TG1 1-1,text,true,307513,124,1,1,1,0,0
1638813635455,14,HTTP Request 5,TG1 1-1,text,true,256313,124,1,1,1,0,0
1638813635605,2,HTTP Request 1,TG1 1-1,text,true,51511,123,1,1,1,0,0
1638813635742,10,HTTP Request 4,TG1 1-2,text,true,205114,124,2,2,3,0,1
1638813635756,12,HTTP Request 9,TG1 1-1,text,true,461113,124,2,2,1,0,0
1638813636040,24,HTTP Request 10,TG1 1-2,text,true,512313,124,2,2,1,0,0
1638813636055,10,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,2,0,0
1638813636340,2,HTTP Request 1,TG1 1-2,text,true,51511,123,2,2,1,0,0
1638813636355,11,HTTP Request 8,TG1 1-1,text,true,409913,124,2,2,1,0,0
1638813636640,13,HTTP Request 9,TG1 1-2,text,true,461113,124,2,2,1,0,0
1638813636656,18,HTTP Request 8,TG1 1-1,text,true,409913,124,2,2,1,0,0
1638813636956,27,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,22,0,0
1638813636940,48,HTTP Request 6,TG1 1-2,text,true,307513,124,2,2,1,0,0
1638813637240,3,HTTP Request 1,TG1 1-2,text,true,51511,123,2,2,1,0,0
1638813637255,15,HTTP Request 10,TG1 1-1,text,true,512313,124,2,2,1,0,0
1638813637541,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638813637555,12,HTTP Request 9,TG1 1-1,text,true,461113,124,2,2,1,0,0
1638813637840,6,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638813637854,14,HTTP Request 8,TG1 1-1,text,true,409913,124,2,2,1,0,0
1638813638139,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638813638154,5,HTTP Request 3,TG1 1-1,text,true,153913,124,2,2,1,0,0
1638813638439,10,HTTP Request 7,TG1 1-2,text,true,358713,124,2,2,1,0,0
1638813638455,10,HTTP Request 6,TG1 1-1,text,true,307513,124,2,2,1,0,0
1638813638739,11,HTTP Request 7,TG1 1-2,text,true,358713,124,2,2,1,0,0
1638813638754,11,HTTP Request 9,TG1 1-1,text,true,461113,124,2,2,1,0,0
1638813639040,2,HTTP Request 1,TG1 1-2,text,true,51511,123,2,2,1,0,0
1638813639054,11,HTTP Request 6,TG1 1-1,text,true,307512,124,2,2,1,0,0
1638813639339,8,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638813639355,13,HTTP Request 9,TG1 1-1,text,true,461112,124,2,2,1,0,0
1638813639639,7,HTTP Request 5,TG1 1-2,text,true,256313,124,2,2,1,0,0
1638813639655,14,HTTP Request 10,TG1 1-1,text,true,512312,124,2,2,1,0,0
1638813639939,9,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638813639954,5,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638813640240,1,HTTP Request 1,TG1 1-2,text,true,51511,123,2,2,0,0,0
1638813640254,8,HTTP Request 5,TG1 1-1,text,true,256312,124,2,2,1,0,0
1638813640539,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638813640554,13,HTTP Request 9,TG1 1-1,text,true,461112,124,2,2,0,0,0
1638813640839,9,HTTP Request 6,TG1 1-2,text,true,307513,124,2,2,1,0,0
1638813640855,22,HTTP Request 7,TG1 1-1,text,true,358712,124,2,2,1,0,0
1638813641139,13,HTTP Request 8,TG1 1-2,text,true,409913,124,2,2,1,0,0
1638813641154,10,HTTP Request 8,TG1 1-1,text,true,409912,124,2,2,1,0,0
1638813641440,5,HTTP Request 3,TG1 1-2,text,true,153913,124,2,2,1,0,0
1638813641454,14,HTTP Request 9,TG1 1-1,text,true,461112,124,2,2,1,0,0
1638813641739,22,HTTP Request 10,TG1 1-2,text,true,512313,124,2,2,2,0,0
1638813641754,10,HTTP Request 4,TG1 1-1,text,true,205077,124,2,2,1,0,0
1638813642040,2,HTTP Request 1,TG1 1-2,text,true,51511,123,2,2,1,0,0
1638813642054,15,HTTP Request 9,TG1 1-1,text,true,461114,124,2,2,1,0,1
1638813642339,11,HTTP Request 8,TG1 1-2,text,true,409913,124,2,2,1,0,0
1638813642354,14,HTTP Request 10,TG1 1-1,text,true,512313,124,2,2,1,0,0
1638813642640,14,HTTP Request 9,TG1 1-2,text,true,461113,124,2,2,1,0,0
1638813642656,10,HTTP Request 6,TG1 1-1,text,true,307513,124,2,2,1,0,0
1638813642941,2,HTTP Request 1,TG1 1-2,text,true,51511,123,2,2,1,0,0
1638813642955,8,HTTP Request 5,TG1 1-1,text,true,256313,124,2,2,1,0,0
1638813643241,12,HTTP Request 9,TG1 1-2,text,true,461113,124,2,2,1,0,0
1638813643254,11,HTTP Request 5,TG1 1-1,text,true,256313,124,2,2,1,0,0
1638813643540,5,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638813643555,4,HTTP Request 2,TG1 1-1,text,true,102713,124,2,2,1,0,0
1638813643840,17,HTTP Request 10,TG1 1-2,text,true,512313,124,2,2,1,0,0
1638813643856,28,HTTP Request 9,TG1 1-1,text,true,461113,124,2,2,2,0,0
1638813644140,5,HTTP Request 3,TG1 1-2,text,true,153913,124,2,2,2,0,0
1638813644155,8,HTTP Request 3,TG1 1-1,text,true,153913,124,2,2,1,0,0
1638813644440,13,HTTP Request 8,TG1 1-2,text,true,409913,124,2,2,1,0,0
1638813644456,5,HTTP Request 3,TG1 1-1,text,true,153913,124,2,2,1,0,0
