timeStamp,elapsed,label,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1638817531700,16,HTTP Request 4,TG1 1-1,text,true,205114,124,1,1,6,0,2
1638817531847,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817531997,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817532147,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817532297,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817532447,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817532597,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817532748,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,0,0,0
1638817532896,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817533047,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817533197,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817533347,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817533496,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817533646,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817533796,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817533947,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817534096,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817534246,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817534398,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817534547,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,0,0,0
1638817534696,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,0,0,0
1638817534846,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817534997,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817535146,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817535296,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817535447,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817535596,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817535745,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817535896,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817536046,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817536196,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817536347,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817536496,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817536647,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817536796,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817536946,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817537097,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817537246,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817537396,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817537546,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817537697,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817537846,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817537996,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817538145,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817538296,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817538448,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817538596,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,2,0,0
1638817538746,8,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817538896,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817539046,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817539196,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817539346,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817539497,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817539646,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817539796,14,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817539947,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817540097,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817540246,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817540397,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817540547,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,0,0,0
1638817540696,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817540846,11,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817540996,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817541146,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817541296,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817541447,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817541596,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817541747,5,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817541896,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817542046,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817542196,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817542346,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817542497,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817542646,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817542796,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817542946,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817543097,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817543246,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817543396,6,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817543546,7,HTTP Request 4,TG1 1-1,text,true,205113,124,1,1,1,0,0
1638817543698,9,HTTP Request 4,TG1 1-2,text,true,205114,124,2,2,2,0,1
1638817543696,14,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817543997,9,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,3,0,0
1638817543997,11,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817544298,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817544297,12,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817544598,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817544597,13,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817544897,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817544896,11,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,0,0,0
1638817545196,9,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,4,0,0
1638817545196,12,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817545498,12,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817545497,13,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817545797,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817545796,12,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817546097,7,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817546096,11,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817546398,8,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817546396,11,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817546696,10,HTTP Request 4,TG1 1-1,text,true,205113,124,2,2,1,0,0
1638817546697,10,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,2,0,0
1638817546997,6,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638817546998,9,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,4,0,0
1638817547296,7,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638817547297,10,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,5,0,0
1638817547596,6,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638817547597,31,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,5,0,0
1638817547898,8,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,3,0,0
1638817547896,14,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638817548196,6,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638817548197,11,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,5,0,0
1638817548497,8,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,1,0,0
1638817548496,13,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638817548797,11,HTTP Request 4,TG1 1-1,text,true,205112,124,2,2,1,0,0
1638817548798,11,HTTP Request 4,TG1 1-2,text,true,205113,124,2,2,6,0,0
