 r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st

 0,0,0,1394332,44704,946952,0,0,6025,234,660,2998,51,20,23,5,0

 0,0,0,1394324,44704,946952,0,0,0,0,494,236,8,1,91,0,0

 0,0,0,1394324,44704,946952,0,0,0,0,468,221,12,1,87,0,0

 1,0,0,1394324,44704,946952,0,0,0,0,494,389,8,0,92,0,0

 0,0,0,1394324,44704,946952,0,0,0,0,478,202,9,1,90,0,0

 0,0,0,1394324,44704,946952,0,0,0,0,472,237,12,1,87,0,0

 0,0,0,1394324,44704,946952,0,0,0,0,503,370,10,1,89,0,0

 0,0,0,1394308,44704,946952,0,0,0,0,522,488,20,2,78,0,0

 0,0,0,1394308,44704,946956,0,0,4,0,457,249,13,1,86,0,0

 0,0,0,1394308,44704,946956,0,0,0,0,462,249,15,1,84,0,0

 0,0,0,1394016,44712,947000,0,0,64,0,482,251,11,1,88,0,0

 0,0,0,1393760,44712,948188,0,0,1208,0,632,310,20,6,73,1,0

 0,0,0,1393032,44712,948628,0,0,400,0,612,263,13,5,82,0,0

 0,0,0,1392044,44712,949380,0,0,752,4,741,308,22,10,68,0,0

 0,0,0,1391664,44712,949776,0,0,352,8,711,280,13,8,79,0,0

 0,0,0,1391696,44712,949780,0,0,0,0,674,292,18,7,75,0,0

 0,0,0,1391696,44720,949780,0,0,0,52,582,318,20,5,75,0,0

 0,0,0,1391696,44720,949780,0,0,0,0,699,265,11,6,83,0,0

 0,0,0,1391696,44720,949780,0,0,0,0,635,262,17,4,79,0,0

 0,0,0,1391696,44720,949780,0,0,0,0,660,295,19,7,74,0,0

 0,0,0,1391696,44720,949784,0,0,0,0,665,286,13,7,80,0,0

 0,0,0,1391696,44728,949784,0,0,0,12,655,306,19,6,75,0,0

 0,0,0,1391632,44728,949784,0,0,0,0,684,312,13,7,79,0,0

 0,0,0,1391316,44872,949792,0,0,144,0,716,289,11,7,81,1,0

 0,0,0,1391156,44872,949792,0,0,0,0,671,296,18,8,74,0,0

 0,0,0,1391092,44872,949796,0,0,0,0,697,303,12,7,80,0,0

 0,0,0,1390996,44880,949788,0,0,0,12,633,284,17,7,76,0,0

 0,0,0,1390836,44880,949796,0,0,0,0,658,293,16,6,78,0,0

 0,0,0,1390772,44880,949796,0,0,0,0,740,280,14,7,79,0,0

 0,0,0,1390676,44880,949800,0,0,0,0,697,272,17,8,75,0,0

 2,0,0,1390388,44880,949800,0,0,0,0,620,314,15,5,80,0,0

 0,0,0,1390644,44888,949792,0,0,0,12,656,276,6,8,85,0,0

 0,0,0,1390644,44888,949800,0,0,0,0,612,265,6,6,88,0,0

 0,0,0,1390644,44888,949800,0,0,0,0,622,453,8,6,86,0,0

 0,0,0,1390644,44888,949804,0,0,0,0,780,275,6,12,82,0,0

 0,0,0,1390644,44888,949804,0,0,0,0,733,302,9,8,83,0,0

 0,0,0,1390644,44896,949796,0,0,0,12,638,257,6,3,91,0,0

 0,0,0,1390644,44896,949804,0,0,0,0,690,262,5,7,88,0,0

 0,0,0,1390644,44896,949804,0,0,0,0,693,301,8,8,84,0,0

 0,0,0,1390644,44896,949808,0,0,0,0,708,257,8,8,84,0,0

 0,0,0,1390392,44896,949808,0,0,0,0,610,275,7,5,88,0,0

 0,0,0,1390392,44896,949808,0,0,0,28,627,274,9,5,86,0,0

 1,0,0,1390008,44904,949808,0,0,0,36,679,270,6,6,88,0,0

