r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st

 1,0,0,1393460,45096,948232,0,0,3146,119,550,1827,26,10,62,3,0

 0,0,0,1393468,45096,948232,0,0,0,0,473,348,10,1,89,0,0

 0,0,0,1393452,45096,948232,0,0,0,168,475,232,10,1,89,0,0

 1,0,0,1393452,45096,948232,0,0,0,0,462,212,7,0,93,0,0

 0,0,0,1393452,45096,948232,0,0,0,0,429,229,8,0,92,0,0

 0,0,0,1393452,45096,948232,0,0,0,0,475,343,13,1,86,0,0

 1,0,0,1393468,45096,948232,0,0,0,0,508,405,17,2,81,0,0

 0,0,0,1393468,45096,948232,0,0,0,0,450,209,10,0,90,0,0

 0,0,0,1393468,45104,948224,0,0,0,32,459,241,14,1,76,8,0

 0,0,0,1393276,45112,948436,0,0,212,0,672,348,13,5,82,0,0

 1,0,0,1392860,45112,948436,0,0,0,0,648,271,11,5,84,0,0

 0,0,0,1392860,45112,948436,0,0,0,0,683,296,14,4,81,0,0

 0,0,0,1392636,45112,948440,0,0,0,0,638,278,9,4,87,0,0

 2,0,0,1392668,45112,948440,0,0,0,0,636,283,15,4,81,0,0

 0,0,0,1392668,45120,948440,0,0,0,12,663,296,10,6,83,1,0

 0,0,0,1392668,45120,948440,0,0,0,0,623,461,15,4,81,0,0

 2,0,0,1392668,45120,948444,0,0,0,0,594,281,16,3,81,0,0

 0,0,0,1392668,45120,948444,0,0,0,0,660,269,10,4,86,0,0

 0,0,0,1392668,45120,948444,0,0,0,0,672,288,14,4,81,0,0

 1,0,0,1392540,45128,948444,0,0,0,12,663,324,15,4,81,0,0

 0,0,0,1392668,45128,948444,0,0,0,0,646,264,9,5,86,0,0

 0,0,0,1392668,45128,948448,0,0,0,396,644,290,13,5,82,0,0

 3,0,0,1392476,45128,948448,0,0,0,0,679,276,14,4,82,0,0

 0,0,0,1392416,45128,948448,0,0,0,0,663,258,10,4,86,0,0

 0,0,0,1392416,45136,948440,0,0,0,20,633,305,18,3,79,0,0

 2,0,0,1392032,45136,948448,0,0,0,0,636,249,12,6,82,0,0

 0,0,0,1392416,45136,948452,0,0,0,0,629,266,14,5,81,0,0

 0,0,0,1392416,45136,948452,0,0,0,0,617,270,14,4,81,0,0

 2,0,0,1392096,45136,948452,0,0,0,0,645,251,9,4,87,0,0

 0,0,0,1392416,45144,948444,0,0,0,84,664,285,12,6,81,1,0

 0,0,0,1392416,45144,948452,0,0,0,8,588,292,14,4,81,0,0

 2,0,0,1392352,45144,948456,0,0,0,0,661,242,6,4,90,0,0

 0,0,0,1392416,45144,948456,0,0,0,0,694,270,8,7,85,0,0

 0,0,0,1392320,45144,948456,0,0,0,0,627,263,6,3,91,0,0

 3,0,0,1391680,45144,948456,0,0,0,0,660,265,6,4,90,0,0

 0,0,0,1392192,45152,948456,0,0,0,24,692,284,7,7,86,0,0

 0,0,0,1392096,45152,948460,0,0,0,0,609,233,5,4,91,0,0

 0,0,0,1392032,45152,948460,0,0,0,0,645,225,5,4,91,0,0

 0,0,0,1391968,45152,948460,0,0,0,0,673,269,9,4,87,0,0

 0,0,0,1391652,45152,948460,0,0,0,28,683,267,6,5,89,0,0

 0,0,0,1391556,45160,948464,0,0,0,24,646,259,5,4,91,0,0

 0,0,0,1391492,45160,948464,0,0,0,0,614,248,7,4,89,0,0

 0,0,0,1391428,45160,948464,0,0,0,0,646,244,4,6,90,0,0

 3,0,0,1391300,45160,948464,0,0,0,0,670,241,5,4,91,0,0

 0,0,0,1391364,45160,948464,0,0,0,0,675,283,7,6,87,0,0

 0,0,0,1391364,45168,948460,0,0,0,12,635,434,5,7,88,0,0

 0,0,0,1391364,45168,948468,0,0,0,0,608,246,7,3,90,0,0

 0,0,0,1391364,45168,948468,0,0,0,0,668,231,6,2,92,0,0

 0,0,0,1391364,45168,948468,0,0,0,0,694,267,5,5,90,0,0

 0,0,0,1391364,45168,948468,0,0,0,0,585,294,10,3,87,0,0

 0,0,0,1391364,45168,948472,0,0,0,0,666,237,5,4,91,0,0

 0,0,0,1391364,45176,948472,0,0,0,12,641,270,6,4,90,0,0

 0,0,0,1391364,45176,948472,0,0,0,0,586,254,6,4,90,0,0

 0,0,0,1391364,45176,948472,0,0,0,0,673,244,5,3,92,0,0

 0,0,0,1391364,45176,948472,0,0,0,0,677,267,6,7,87,0,0

 0,0,0,1391364,45176,948476,0,0,0,0,577,269,11,5,84,0,0

 0,0,0,1391364,45184,948468,0,0,0,12,650,256,5,4,91,0,0

 1,0,0,1391364,45184,948476,0,0,0,0,635,271,7,4,89,0,0

 0,0,0,1391364,45184,948476,0,0,0,0,685,251,5,5,90,0,0

 0,0,0,1391364,45184,948476,0,0,0,0,601,248,6,2,92,0,0

 0,0,0,1391364,45184,948480,0,0,0,0,662,268,8,5,87,0,0

 0,0,0,1391364,45192,948472,0,0,0,12,630,237,6,4,90,0,0

 0,0,0,1391364,45192,948480,0,0,0,0,608,228,7,2,91,0,0

 0,0,0,1391364,45192,948480,0,0,0,0,655,259,8,4,88,0,0

 0,0,0,1391364,45192,948480,0,0,0,0,694,265,4,6,90,0,0

 0,0,0,1391364,45192,948484,0,0,0,20,587,228,5,5,90,0,0

 0,0,0,1391364,45200,948476,0,0,0,12,636,290,7,5,88,0,0

 0,0,0,1391112,45200,948484,0,0,0,0,683,264,4,6,90,0,0

 0,0,0,1391112,45200,948484,0,0,0,0,565,257,8,4,88,0,0

 0,0,0,1391112,45200,948488,0,0,0,0,645,252,5,4,91,0,0

 3,0,0,1390856,45200,948488,0,0,0,32,672,251,5,6,89,0,0

 0,0,0,1391112,45200,948488,0,0,0,0,662,268,8,5,87,0,0

 0,0,0,1391112,45208,948488,0,0,0,24,730,283,5,6,89,0,0

 0,0,0,1391112,45208,948488,0,0,0,0,627,224,5,5,90,0,0

 0,0,0,1391112,45208,948492,0,0,0,0,658,287,8,5,87,0,0

 1,0,0,1391112,45208,948492,0,0,0,0,638,409,4,5,91,0,0

 0,0,0,1391112,45208,948492,0,0,0,0,627,254,6,4,90,0,0

 0,0,0,1391112,45216,948492,0,0,0,12,634,267,8,5,87,0,0

 0,0,0,1391112,45216,948492,0,0,0,0,624,236,4,4,92,0,0

 2,0,0,1390920,45216,948500,0,0,0,0,674,280,8,5,86,0,0

 0,0,0,1391112,45216,948500,0,0,0,0,631,260,5,6,89,0,0

 0,0,0,1391112,45216,948500,0,0,0,0,740,267,6,6,88,0,0

 3,0,0,1390856,45224,948492,0,0,0,12,646,273,7,4,88,0,0

 0,0,0,1391112,45224,948500,0,0,0,0,618,225,5,4,91,0,0

 0,0,0,1391112,45224,948504,0,0,0,0,666,272,7,5,88,0,0

 3,0,0,1391048,45224,948504,0,0,0,0,601,248,9,4,86,0,0

 0,0,0,1391112,45224,948504,0,0,0,0,594,241,5,3,92,0,0

 0,0,0,1391112,45224,948504,0,0,0,0,628,245,7,5,88,0,0

 0,0,0,1390860,45232,948508,0,0,0,12,615,291,8,7,85,0,0

 0,0,0,1390860,45232,948508,0,0,0,0,677,258,5,5,90,0,0

 0,0,0,1390860,45232,948508,0,0,0,0,652,267,8,5,86,0,0

 0,0,0,1390860,45232,948508,0,0,0,0,639,240,7,5,88,0,0

 0,0,0,1390860,45232,948508,0,0,0,0,672,260,5,5,90,0,0

 0,0,0,1390860,45240,948512,0,0,0,12,659,285,9,5,76,9,0

 0,0,0,1390860,45240,948512,0,0,0,0,692,271,6,5,89,0,0

 0,0,0,1390860,45240,948512,0,0,0,0,657,236,7,4,89,0,0

 0,0,0,1390860,45240,948512,0,0,0,0,605,266,7,2,91,0,0

 0,0,0,1390860,45240,948512,0,0,0,12,631,221,5,4,91,0,0

 0,0,0,1390860,45248,948516,0,0,0,12,670,286,8,5,87,0,0

 0,0,0,1390860,45248,948516,0,0,0,0,646,294,10,7,83,0,0

 0,0,0,1390860,45248,948516,0,0,0,0,679,263,6,7,87,0,0

 0,0,0,1390860,45248,948516,0,0,0,28,652,258,6,4,90,0,0

 0,0,0,1390860,45248,948516,0,0,0,0,612,233,6,4,90,0,0

 0,0,0,1390860,45256,948512,0,0,0,24,591,250,5,5,90,0,0

 0,0,0,1390860,45256,948520,0,0,0,0,653,285,8,6,85,0,0

 0,0,0,1390860,45256,948520,0,0,0,0,730,436,6,6,88,0,0

 0,0,0,1390860,45256,948520,0,0,0,0,726,263,7,5,88,0,0

 0,0,0,1390860,45256,948520,0,0,0,0,516,223,8,2,90,0,0

 0,0,0,1390860,45264,948516,0,0,0,12,656,258,5,6,89,0,0

 0,0,0,1390860,45264,948524,0,0,0,0,718,293,9,6,85,0,0

 0,0,0,1390860,45264,948524,0,0,0,0,701,278,8,6,86,0,0

 0,0,0,1390860,45264,948524,0,0,0,0,542,213,4,2,94,0,0

 0,0,0,1390860,45264,948528,0,0,0,0,641,267,8,6,86,0,0

 0,0,0,1390860,45264,948528,0,0,0,0,737,259,5,6,89,0,0

 0,0,0,1390860,45272,948520,0,0,0,12,684,277,6,4,90,0,0

 0,0,0,1390860,45272,948528,0,0,0,0,558,235,9,2,89,0,0

 0,0,0,1390860,45272,948528,0,0,0,0,638,244,5,5,90,0,0

 0,0,0,1390860,45272,948532,0,0,0,0,722,271,7,7,86,0,0

 0,0,0,1390860,45272,948532,0,0,0,0,610,272,5,5,90,0,0

 0,0,0,1390860,45272,948532,0,0,0,0,545,226,5,2,93,0,0

 0,0,0,1390860,45280,948532,0,0,0,12,708,309,10,9,80,1,0

 0,0,0,1390860,45280,948532,0,0,0,0,630,253,6,5,89,0,0

 0,0,0,1390860,45280,948536,0,0,0,0,579,229,6,4,90,0,0

 0,0,0,1390860,45280,948536,0,0,0,0,749,284,7,6,87,0,0

 0,0,0,1390860,45280,948536,0,0,0,0,635,272,4,4,92,0,0

 0,0,0,1390860,45288,948528,0,0,0,12,577,226,6,3,91,0,0

 0,0,0,1390860,45288,948536,0,0,0,0,754,293,8,6,86,0,0

 0,0,0,1390608,45288,948540,0,0,0,0,621,251,5,5,90,0,0

 0,0,0,1390608,45288,948540,0,0,0,0,622,246,6,4,90,0,0

 1,0,0,1390104,45288,948944,0,0,404,12,814,345,8,10,81,0,0

 0,0,0,1390104,45296,948936,0,0,0,12,717,295,6,8,86,0,0

 0,0,0,1390104,45296,948948,0,0,0,0,726,271,6,8,85,0,0

 0,0,0,1390104,45296,948948,0,0,0,32,749,313,7,8,85,0,0

 0,0,0,1390104,45296,948948,0,0,0,0,681,263,5,4,91,0,0

 0,0,0,1390104,45296,948952,0,0,0,0,587,292,8,3,89,0,0

 0,0,0,1390104,45304,948944,0,0,0,24,758,300,6,10,83,1,0

 0,0,0,1390104,45304,948952,0,0,0,0,713,481,6,8,86,0,0

 0,0,0,1390104,45304,948952,0,0,0,0,781,307,8,7,85,0,0

 0,0,0,1390104,45304,948956,0,0,0,0,762,314,5,9,86,0,0

 0,0,0,1390104,45304,948956,0,0,0,0,646,284,6,5,89,0,0

 0,0,0,1389820,45312,948948,0,0,0,12,671,319,8,7,85,0,0

 0,0,0,1389852,45312,948960,0,0,0,0,726,289,5,7,88,0,0

 0,0,0,1389852,45312,948960,0,0,0,0,796,296,8,10,82,0,0

 0,0,0,1389852,45312,948960,0,0,0,0,669,283,5,7,88,0,0

 0,0,0,1389852,45312,948960,0,0,0,0,661,290,5,5,90,0,0

 0,0,0,1389852,45320,948960,0,0,0,12,723,290,9,6,84,0,0

 0,0,0,1389852,45320,948968,0,0,0,0,660,275,5,7,88,0,0

 0,0,0,1389852,45320,948968,0,0,0,0,666,266,6,4,90,0,0

 0,0,0,1389852,45320,948972,0,0,0,0,734,308,10,6,84,0,0

 0,0,0,1389852,45320,948972,0,0,0,0,660,281,5,6,89,0,0

 0,0,0,1389852,45328,948964,0,0,0,12,677,287,10,6,82,2,0

 0,0,0,1389852,45328,948972,0,0,0,0,706,282,7,8,85,0,0

 0,0,0,1389852,45328,948976,0,0,0,0,699,285,8,5,87,0,0

 0,0,0,1389852,45328,948976,0,0,0,0,729,280,7,5,88,0,0

 0,0,0,1389852,45328,948976,0,0,0,0,737,312,7,8,85,0,0

 0,0,0,1389852,45336,948972,0,0,0,12,700,292,8,8,83,0,0

 0,0,0,1389852,45336,948980,0,0,0,0,791,317,9,9,82,0,0

 1,0,0,1389852,45336,948980,0,0,0,0,738,262,6,6,88,0,0

 2,0,0,1389852,45336,948980,0,0,0,0,654,302,12,4,84,0,0

 0,0,0,1389852,45336,948984,0,0,0,0,676,306,8,4,87,0,0

 0,0,0,1389852,45344,948976,0,0,0,12,781,285,5,8,86,1,0

 1,0,0,1389852,45344,948984,0,0,0,12,628,268,6,5,89,0,0

 0,0,0,1389852,45344,948984,0,0,0,0,680,283,8,4,88,0,0

 0,0,0,1389852,45344,948988,0,0,0,40,721,276,5,6,89,0,0

 1,0,0,1389852,45344,948988,0,0,0,0,680,318,8,7,85,0,0

 0,0,0,1389852,45352,948980,0,0,0,24,695,300,7,6,86,0,0

 0,0,0,1389852,45352,948992,0,0,0,0,716,454,6,6,88,0,0

 0,0,0,1389852,45352,948992,0,0,0,0,756,313,8,8,84,0,0

 0,0,0,1389852,45352,948992,0,0,0,0,811,307,6,12,82,0,0

 0,0,0,1389852,45352,948996,0,0,0,0,646,316,12,9,79,0,0

 0,0,0,1389852,45360,948988,0,0,0,12,680,298,7,5,88,0,0

 0,0,0,1389852,45360,948996,0,0,0,0,700,274,5,5,90,0,0

 0,0,0,1389852,45360,948996,0,0,0,0,657,271,7,5,88,0,0

 0,0,0,1389852,45360,949000,0,0,0,0,685,316,8,6,85,0,0

 0,0,0,1389852,45360,949000,0,0,0,0,748,310,5,9,86,0,0

 0,0,0,1389852,45368,948992,0,0,0,12,707,275,8,8,84,0,0

 0,0,0,1389852,45368,949000,0,0,0,0,809,310,8,8,83,0,0

 0,0,0,1389852,45368,949004,0,0,0,0,689,276,6,6,88,0,0

 0,0,0,1389852,45368,949004,0,0,0,0,697,309,8,9,83,0,0

 0,0,0,1389852,45368,949004,0,0,0,0,769,292,6,6,88,0,0

 0,0,0,1389852,45376,949000,0,0,0,12,564,280,7,3,90,0,0

 0,0,0,1389852,45376,949008,0,0,0,0,666,272,6,7,87,0,0

 0,0,0,1389852,45376,949008,0,0,0,0,659,273,6,4,90,0,0

 0,0,0,1389852,45376,949008,0,0,0,0,655,290,9,4,87,0,0

 2,0,0,1389532,45376,949012,0,0,0,0,706,318,6,8,86,0,0

 0,0,0,1389852,45384,949004,0,0,0,12,735,288,7,6,86,0,0

 0,0,0,1389852,45384,949012,0,0,0,0,764,288,8,8,84,0,0

 0,0,0,1389852,45384,949016,0,0,0,0,674,287,7,6,87,0,0

 2,0,0,1389852,45384,949016,0,0,0,0,657,280,5,3,92,0,0

 0,0,0,1389852,45384,949016,0,0,0,0,747,315,7,8,85,0,0

 0,0,0,1389568,45392,949008,0,0,0,12,675,281,7,6,86,1,0

 0,0,0,1389600,45392,949020,0,0,0,0,725,290,6,5,89,0,0

 0,0,0,1389600,45392,949020,0,0,0,0,622,300,10,6,84,0,0

 0,0,0,1389600,45392,949020,0,0,0,36,779,285,6,7,87,0,0

 0,0,0,1389600,45392,949024,0,0,0,0,595,296,6,6,88,0,0

 2,0,0,1389280,45400,949016,0,0,0,24,689,321,8,7,85,0,0

