timeStamp,elapsed,label,dataType,success,bytes,sentBytes,Latency,IdleTime,Connect
1638552351680,65,TextLarge1,text,true,1253905,140,12,0,3
1638552351765,129,AudioLarge1,bin,true,1693697,140,4,0,0
1638552351895,89,AudioSmall1,bin,true,1693697,140,2,0,0
1638552351984,92,AudioSmall1,bin,true,1693697,140,1,0,0
1638552352076,41,ImageLarge1,bin,true,768842,141,5,0,0
1638552352161,55,AudioMedium1,bin,true,1693697,140,1,0,0
1638552352248,5,ImageSmall1,bin,true,89020,141,3,0,0
1638552352334,26,ImageLarge1,bin,true,768842,141,1,0,0
1638552352421,88,AudioMedium1,bin,true,1693697,140,0,0,0
1638552352509,170,AudioSmall1,bin,true,1693697,140,2,0,0
1638552352679,23,TextMedium1,text,true,581702,141,4,0,0
1638552352765,73,AudioSmall1,bin,true,1693697,140,1,0,0
1638552352851,20,ImageMedium1,bin,true,334427,142,2,0,0
1638552352937,4,ImageSmall1,bin,true,89020,141,3,0,0
1638552353023,2,ImageSmall1,bin,true,89020,141,1,0,0
1638552353110,49,AudioMedium1,bin,true,1693697,140,1,0,0
1638552353195,17,TextMedium1,text,true,581702,141,1,0,0
1638552353289,54,AudioLarge1,bin,true,1693697,140,1,0,0
1638552353368,58,TextLarge1,text,true,1253904,140,1,0,0
1638552353453,23,ImageLarge1,bin,true,768842,141,1,0,0
1638552353540,26,ImageMedium1,bin,true,334427,142,1,0,0
1638552353625,52,AudioLarge1,bin,true,1693697,140,1,0,0
1638552353711,84,AudioSmall1,bin,true,1693697,140,1,0,0
1638552353798,43,TextMedium1,text,true,581702,141,1,0,0
1638552353884,20,TextMedium1,text,true,581702,141,1,0,0
1638552353969,60,AudioLarge1,bin,true,1693697,140,1,0,0
1638552354056,10,ImageMedium1,bin,true,334427,142,1,0,0
1638552354141,70,AudioSmall1,bin,true,1693697,140,1,0,0
1638552354227,25,TextMedium1,text,true,581702,141,4,0,0
1638552354312,4,ImageSmall1,bin,true,89020,141,2,0,0
1638552354399,4,TextSmall1,text,true,66009,140,2,0,0
1638552354485,2,TextSmall1,text,true,66009,140,1,0,0
1638552354571,21,ImageLarge1,bin,true,768842,141,1,0,0
1638552354657,47,AudioSmall1,bin,true,1693697,140,1,0,0
1638552354743,101,TextLarge1,text,true,1253904,140,1,0,0
1638552354844,23,ImageMedium1,bin,true,334427,142,7,0,0
1638552354931,82,AudioMedium1,bin,true,1693697,140,21,0,0
1638552355018,116,AudioSmall1,bin,true,1693697,140,1,0,0
1638552355135,12,ImageMedium1,bin,true,334427,142,1,0,0
1638552355221,2,ImageSmall1,bin,true,89020,141,1,0,0
1638552355307,36,TextLarge1,text,true,1253904,140,1,0,0
1638552355393,3,TextSmall1,text,true,66009,140,1,0,0
1638552355479,3,ImageSmall1,bin,true,89020,141,1,0,0
1638552355565,14,TextMedium1,text,true,581702,141,1,0,0
1638552355651,3,ImageSmall1,bin,true,89020,141,1,0,0
1638552355737,2,TextSmall1,text,true,66009,140,1,0,0
1638552355823,86,ImageLarge1,bin,true,768842,141,1,0,0
1638552355909,26,TextMedium1,text,true,581702,141,3,0,0
1638552355994,3,ImageSmall1,bin,true,89020,141,1,0,0
1638552356081,2,TextSmall1,text,true,66009,140,1,0,0
1638552356168,50,AudioLarge1,bin,true,1693697,140,1,0,0
1638552356253,17,ImageLarge1,bin,true,768842,141,1,0,0
1638552356339,45,AudioMedium1,bin,true,1693697,140,1,0,0
1638552356426,10,ImageMedium1,bin,true,334427,142,1,0,0
1638552356511,19,ImageLarge1,bin,true,768842,141,1,0,0
1638552356597,41,AudioMedium1,bin,true,1693697,140,1,0,0
1638552356683,3,ImageSmall1,bin,true,89020,141,0,0,0
1638552356769,57,TextLarge1,text,true,1253904,140,1,0,0
1638552356855,65,ImageSmall1,bin,true,89020,141,2,0,0
1638552356941,4,TextSmall1,text,true,66009,140,1,0,0
1638552357028,41,AudioLarge1,bin,true,1693697,140,1,0,0
1638552357113,23,ImageLarge1,bin,true,768842,141,1,0,0
1638552357205,58,TextLarge1,text,true,1253904,140,2,0,0
1638552357286,3,ImageSmall1,bin,true,89020,141,1,0,0
1638552357371,45,AudioSmall1,bin,true,1693697,140,1,0,0
1638552357458,3,ImageSmall1,bin,true,89020,141,1,0,0
1638552357544,29,TextLarge1,text,true,1253904,140,1,0,0
1638552357629,9,ImageMedium1,bin,true,334427,142,1,0,0
1638552357715,46,AudioMedium1,bin,true,1693697,140,1,0,0
1638552357801,53,ImageLarge1,bin,true,768842,141,16,0,0
1638552357887,75,AudioSmall1,bin,true,1693697,140,1,0,0
1638552357974,15,TextMedium1,text,true,581702,141,1,0,0
1638552358059,8,ImageMedium1,bin,true,334427,142,1,0,0
1638552358145,3,TextSmall1,text,true,66009,140,1,0,0
1638552358231,9,ImageMedium1,bin,true,334427,142,1,0,0
1638552358318,43,AudioSmall1,bin,true,1693697,140,0,0,0
1638552358403,75,AudioSmall1,bin,true,1693697,140,0,0,0
1638552358489,3,TextSmall1,text,true,66009,140,1,0,0
1638552358574,15,TextMedium1,text,true,581702,141,2,0,0
1638552358661,42,AudioLarge1,bin,true,1693697,140,1,0,0
1638552358747,57,TextLarge1,text,true,1253904,140,9,0,0
1638552358833,20,TextMedium1,text,true,581702,141,2,0,0
1638552358919,60,AudioMedium1,bin,true,1693697,140,1,0,0
1638552359005,10,ImageMedium1,bin,true,334427,142,2,0,0
1638552359090,3,TextSmall1,text,true,66009,140,1,0,0
1638552359177,42,AudioMedium1,bin,true,1693697,140,1,0,0
1638552359263,20,ImageLarge1,bin,true,768842,141,1,0,0
1638552359349,9,ImageMedium1,bin,true,334427,142,1,0,0
1638552359434,44,AudioMedium1,bin,true,1693697,140,2,0,0
1638552359520,36,TextLarge1,text,true,1253904,140,1,0,0
1638552359607,2,TextSmall1,text,true,66009,140,1,0,0
1638552359692,3,ImageSmall1,bin,true,89019,141,1,0,0
1638552359778,33,TextMedium1,text,true,581701,141,1,0,0
1638552359864,46,TextLarge1,text,true,1253903,140,1,0,0
1638552359950,45,AudioLarge1,bin,true,1693696,140,1,0,0
