timeStamp,elapsed,label,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1638808951958,125,AudioMedium1,TG1 1-1,bin,true,1693698,140,1,1,79,0,54
1638808952087,5,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,3,0,0
1638808952176,5,TextSmall1,TG1 1-1,text,true,66009,140,1,1,4,0,0
1638808952259,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,3,0,0
1638808952345,30,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,4,0,0
1638808952431,57,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,4,0,0
1638808952517,20,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,10,0,0
1638808952603,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,3,0,0
1638808952689,3,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,2,0,0
1638808952775,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,2,0,0
1638808952861,62,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808952948,52,AudioMedium1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808953034,40,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808953119,8,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,7,0,0
1638808953205,46,AudioMedium1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808953298,42,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808953377,50,AudioMedium1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808953463,47,AudioMedium1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808953549,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,2,0,0
1638808953636,2,TextSmall1,TG1 1-1,text,true,66009,140,1,1,2,0,0
1638808953721,8,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,2,0,0
1638808953807,43,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808953901,37,AudioMedium1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808953979,3,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,1,0,0
1638808954066,2,TextSmall1,TG1 1-1,text,true,66009,140,1,1,1,0,0
1638808954151,45,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808954237,50,AudioMedium1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808954323,39,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,18,0,0
1638808954410,91,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808954502,33,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,1,0,0
1638808954588,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,2,0,0
1638808954673,41,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808954766,3,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,2,0,0
1638808954845,35,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,1,0,0
1638808954932,8,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,2,0,0
1638808955017,28,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,2,0,0
1638808955103,3,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,2,0,0
1638808955189,31,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808955275,44,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808955362,9,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,2,0,0
1638808955447,31,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808955534,3,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,1,0,0
1638808955619,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,2,0,0
1638808955705,22,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,2,0,0
1638808955792,38,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,1,0,0
1638808955878,37,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,1,0,0
1638808955963,41,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808956051,9,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,2,0,0
1638808956135,10,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,2,0,0
1638808956221,19,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,2,0,0
1638808956307,11,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,2,0,0
1638808956393,43,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808956484,8,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,1,0,0
1638808956565,23,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,2,0,0
1638808956652,57,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,1,0,0
1638808956737,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,1,0,0
1638808956823,35,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,1,0,0
1638808956911,9,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,1,0,0
1638808956996,40,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808957082,64,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808957168,92,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,36,0,0
1638808957261,66,AudioMedium1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808957346,72,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808957433,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,2,0,0
1638808957518,20,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,1,0,0
1638808957605,2,TextSmall1,TG1 1-1,text,true,66009,140,1,1,1,0,0
1638808957690,3,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,1,0,0
1638808957776,53,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,2,0,0
1638808957862,3,TextSmall1,TG1 1-1,text,true,66009,140,1,1,2,0,0
1638808957947,36,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808958034,4,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,2,0,0
1638808958120,57,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808958206,24,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,23,0,0
1638808958292,63,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808958378,33,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808958465,3,ImageSmall1,TG1 1-1,bin,true,89020,141,1,1,2,0,0
1638808958550,56,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,1,0,0
1638808958636,40,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808958723,47,AudioLarge1,TG1 1-1,bin,true,1693697,140,1,1,1,0,0
1638808958808,9,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,1,0,0
1638808958894,11,ImageMedium1,TG1 1-1,bin,true,334427,142,1,1,3,0,0
1638808958980,25,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,2,0,0
1638808959066,24,ImageLarge1,TG1 1-1,bin,true,768842,141,1,1,2,0,0
1638808959152,49,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
1638808959238,13,TextSmall1,TG1 1-1,text,true,66009,140,1,1,12,0,0
1638808959324,47,TextLarge1,TG1 1-1,text,true,1253904,140,1,1,2,0,0
