 r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st

 1,0,0,1393452,44848,945116,0,0,5854,240,634,3251,60,22,14,4,0

 0,0,0,1393452,44848,945116,0,0,0,0,472,262,4,0,96,0,0

 0,0,0,1393184,44856,945116,0,0,0,52,562,540,9,3,87,1,0

 1,0,0,1393436,44856,946732,0,0,4,0,547,804,31,7,62,0,0

 0,0,0,1393184,44860,946752,0,0,0,0,425,401,40,2,58,0,0

 0,0,0,1393184,44860,946752,0,0,0,0,478,340,8,2,90,0,0

 0,0,0,1393184,44860,946752,0,0,0,0,521,524,10,2,88,0,0

 0,0,0,1393184,44860,946752,0,0,0,0,443,283,12,1,87,0,0

 0,0,0,1393184,44860,946752,0,0,0,0,473,263,13,1,86,0,0

 0,0,0,1393184,44868,946744,0,0,0,48,499,447,23,2,75,0,0

 0,0,0,1393200,44868,946752,0,0,0,0,482,202,12,0,88,0,0

 2,0,0,1391548,44876,947940,0,0,1236,0,559,250,21,7,72,1,0

 0,0,0,1388200,44876,951052,0,0,3068,80,1529,515,18,56,26,0,0

 2,0,0,1387184,44876,951400,0,0,328,0,1347,516,34,32,34,0,0

 0,0,0,1387280,44876,951452,0,0,68,0,1260,409,16,26,59,0,0

 0,0,0,1387312,44876,951504,0,0,0,0,996,372,23,28,49,0,0

 0,0,0,1387312,44876,951504,0,0,0,4,1189,419,21,22,57,0,0

 1,0,0,1386864,44884,951504,0,0,0,12,1300,453,16,27,57,0,0

 0,0,0,1387312,44884,951508,0,0,0,0,1381,416,19,26,55,0,0

 0,0,0,1387312,44884,951508,0,0,0,0,1350,421,19,27,54,0,0

 3,0,0,1387184,44884,951512,0,0,0,0,1598,415,14,33,53,0,0

 1,0,0,1386864,44884,951512,0,0,0,156,1538,453,24,30,46,0,0

 0,0,0,1386512,44892,951512,0,0,0,12,1553,491,23,40,38,0,0

 0,0,0,1386512,44892,951516,0,0,0,0,1555,455,12,32,56,0,0

 3,0,0,1385712,44892,951516,0,0,0,0,1331,478,26,37,38,0,0

 0,0,0,1386512,44892,951520,0,0,0,0,1383,422,17,27,56,0,0

 0,0,0,1386512,44908,951524,0,0,16,0,1313,393,18,23,59,0,0

 0,0,0,1386512,44916,951528,0,0,0,44,1598,462,11,34,55,0,0

 0,0,0,1386480,44916,951528,0,0,0,0,1499,410,8,31,61,0,0

 1,0,0,1386128,44916,951528,0,0,0,0,1636,458,12,33,55,0,0

 2,0,0,1386192,44916,951532,0,0,0,0,1602,439,9,35,56,0,0

 1,0,0,1386000,44916,951532,0,0,0,0,1132,413,7,26,67,0,0

 2,0,0,1386192,44924,951536,0,0,0,20,1375,461,9,31,60,0,0

 0,0,0,1386480,44924,951536,0,0,0,0,1678,433,13,41,46,0,0

 0,0,0,1386512,44924,951536,0,0,0,0,1240,371,5,24,71,0,0

 0,0,0,1386512,44924,951540,0,0,0,8,1564,448,10,31,59,0,0

 0,0,0,1386512,44924,951540,0,0,0,0,1207,407,7,26,67,0,0

 1,0,0,1386448,44932,951544,0,0,0,24,1297,414,8,27,64,1,0

 2,0,0,1385744,44932,951544,0,0,0,0,1510,425,8,31,60,0,0

 0,0,0,1386512,44932,951544,0,0,0,0,1666,457,7,49,43,0,0

 0,0,0,1386512,44932,951548,0,0,0,0,1512,420,6,39,55,0,0

 0,0,0,1386512,44932,951548,0,0,0,0,1194,400,12,22,66,0,0

 0,0,0,1386512,44940,951552,0,0,0,24,1444,464,6,34,59,0,0

 2,0,0,1386384,44940,951552,0,0,0,0,1415,428,8,27,65,0,0

 0,0,0,1386512,44940,951556,0,0,0,0,1070,363,7,16,77,0,0

 2,0,0,1386128,44940,951556,0,0,0,0,1139,372,6,21,72,0,0

 3,0,0,1386032,44940,951556,0,0,0,0,1400,392,11,27,62,0,0

 0,0,0,1386512,44948,951552,0,0,0,80,1253,404,9,22,70,0,0

