r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st

 0,0,0,1353620,49660,979764,0,0,148,12,486,203,2,1,98,0,0

 0,0,0,1353612,49660,979764,0,0,0,0,514,268,5,0,95,0,0

 0,0,0,1353612,49660,979764,0,0,0,0,461,212,3,1,96,0,0

 1,0,0,1353596,49660,979764,0,0,0,0,574,494,8,1,91,0,0

 1,0,0,1352084,49672,981396,0,0,12,16,536,838,36,7,58,0,0

 0,0,0,1352084,49672,981396,0,0,0,0,516,298,10,0,90,0,0

 1,0,0,1352084,49672,981396,0,0,0,0,472,217,6,0,94,0,0

 0,0,0,1352100,49672,981396,0,0,0,16,512,386,15,1,84,0,0

 0,0,0,1352100,49672,981396,0,0,0,0,448,251,15,1,84,0,0

 0,0,0,1352100,49680,981388,0,0,0,12,494,222,10,0,90,0,0

 0,0,0,1350232,49688,983104,0,0,1752,0,696,226,14,9,76,1,0

 0,0,0,1347384,49688,985536,0,0,2376,0,1255,441,17,23,60,0,0

 0,0,0,1346968,49688,985536,0,0,0,0,1446,421,9,26,65,0,0

 0,0,0,1347000,49688,985540,0,0,0,0,1473,420,20,29,52,0,0

 0,0,0,1347000,49688,985540,0,0,0,0,1565,401,10,24,66,0,0

 1,0,0,1346360,49696,985532,0,0,0,20,1526,442,19,23,57,0,0

 0,0,0,1347000,49696,985544,0,0,0,0,1590,440,19,26,55,0,0

 0,0,0,1347000,49696,985544,0,0,0,0,1597,414,14,32,54,0,0

 0,0,0,1346968,49696,985548,0,0,0,0,1515,433,17,28,55,0,0

 0,0,0,1346840,49696,985548,0,0,0,0,1264,417,11,17,72,0,0

 0,0,0,1346424,49704,985540,0,0,0,12,1608,438,10,24,66,0,0

 1,0,0,1345816,49704,985552,0,0,0,0,1508,469,16,25,59,0,0

 0,0,0,1346168,49704,985552,0,0,0,0,1549,639,12,25,63,0,0

 1,0,0,1345880,49704,985556,0,0,0,0,1499,443,11,23,67,0,0

 0,0,0,1346200,49704,985556,0,0,0,0,1002,379,16,16,67,0,0

 0,0,0,1345948,49704,985560,0,0,0,0,1934,487,10,30,60,0,0

 0,0,0,1345948,49712,985560,0,0,0,12,1954,515,17,32,51,0,0

 2,0,0,1345564,49728,985548,0,0,0,80,1751,503,22,31,46,1,0

 0,0,0,1345948,49728,985564,0,0,0,0,1456,428,13,24,63,0,0

 1,0,0,1345724,49728,985564,0,0,0,0,1868,473,20,34,46,0,0

 1,0,0,1345564,49728,985568,0,0,0,0,1411,420,12,19,69,0,0

 0,0,0,1345948,49728,985568,0,0,0,36,1773,501,5,29,66,0,0

 0,0,0,1343892,49752,985704,0,0,0,100,1303,712,8,25,66,0,0

 0,0,0,1343892,49752,985708,0,0,0,0,1639,439,12,26,63,0,0

 1,0,0,1343668,49752,985708,0,0,0,0,1761,438,5,27,68,0,0

 0,0,0,1343924,49752,985712,0,0,0,0,1817,437,8,25,67,0,0

 0,0,0,1343924,49752,985712,0,0,0,0,1735,441,6,22,71,0,0

 1,0,0,1343476,49760,985716,0,0,0,24,1672,413,7,22,71,0,0

 0,0,0,1343924,49760,985716,0,0,0,0,1406,429,12,21,67,0,0

 2,0,0,1343540,49760,985716,0,0,0,0,1807,433,7,28,65,0,0

 0,0,0,1343924,49760,985720,0,0,0,60,1522,429,8,23,69,0,0

 0,0,0,1343924,49760,985720,0,0,0,0,1988,500,10,30,61,0,0

 1,0,0,1344308,49768,985720,0,0,0,12,1883,533,7,27,66,0,0

 1,0,0,1344020,49768,985720,0,0,0,0,1983,453,7,33,60,0,0

 0,0,0,1344436,49768,985720,0,0,0,0,1519,412,8,20,72,0,0

 0,0,0,1344436,49768,985724,0,0,0,0,1829,413,6,28,66,0,0

 0,0,0,1344436,49768,985724,0,0,0,0,1892,474,8,25,67,0,0

 0,0,0,1344436,49776,985732,0,0,0,24,1515,420,8,24,69,0,0

 0,0,0,1344052,49776,985732,0,0,0,0,1932,443,6,29,65,0,0

 0,0,0,1344180,49776,985732,0,0,0,0,1710,462,8,34,58,0,0

 2,0,0,1344244,49776,985736,0,0,0,0,1680,433,9,24,67,0,0

 0,0,0,1344436,49776,985736,0,0,0,36,1471,411,5,17,78,0,0

 0,0,0,1344436,49784,985740,0,0,0,20,1734,634,13,28,60,0,0

 0,0,0,1344436,49784,985740,0,0,0,0,1068,350,5,12,82,0,0

 0,0,0,1344404,49784,985740,0,0,0,0,1363,387,6,17,77,0,0

 0,0,0,1344404,49784,985744,0,0,0,0,1754,466,9,29,62,0,0

 0,0,0,1344436,49784,985744,0,0,0,0,1572,419,5,25,69,0,0

 1,0,0,1344436,49792,985748,0,0,0,12,1590,424,7,26,66,1,0

 2,0,0,1344436,49792,985748,0,0,0,0,1245,365,6,16,78,0,0

 0,0,0,1344436,49792,985752,0,0,0,0,1483,367,6,19,75,0,0

 0,0,0,1344436,49792,985752,0,0,0,0,1401,401,7,22,71,0,0

 0,0,0,1344404,49792,985752,0,0,0,0,1412,435,7,21,71,0,0

 0,0,0,1344436,49800,985756,0,0,0,364,1683,466,8,27,65,0,0

 0,0,0,1344436,49800,985756,0,0,0,0,1154,403,7,18,75,0,0

 0,0,0,1344436,49800,985760,0,0,0,0,1561,391,6,24,70,0,0

 1,0,0,1344404,49800,985760,0,0,0,0,2088,478,7,37,57,0,0

 0,0,0,1344436,49800,985760,0,0,0,0,1383,408,9,20,71,0,0

 1,0,0,1344404,49808,985760,0,0,0,20,1772,427,6,27,67,0,0

 0,0,0,1344436,49808,985764,0,0,0,0,1534,438,9,22,69,0,0

