 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3467948  45840 966448    0    0  2356   182  603 2076 11  5 46 37  0
 0  1      0 3467940  45848 966484    0    0     0    16  359  206  1  0 99  0  0
 0  0      0 3467940  45848 966484    0    0     0     0  381  234  1  1 91  7  0
 0  0      0 3467940  45848 966488    0    0     0     0  475  787 10  3 87  0  0
 1  0      0 3467940  45848 966488    0    0     0     0  371  198  3  0 97  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  396  488  9  4 87  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  417  539  7  3 90  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  403  220  1  1 98  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  349  213  1  1 98  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  415  697  8  4 88  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  418  725 16  6 78  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  420  821 15 10 75  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  457  895 14  9 77  0  0
 0  0      0 3467940  45848 966488    0    0     0     0  580 1338  6  4 90  0  0
 2  0      0 3468148  45848 966488    0    0     0     0  427  649 16  5 79  0  0
 0  0      0 3468192  45848 966488    0    0     0     0  401  340  2  2 96  0  0
 0  0      0 3468192  45848 966488    0    0     0     0  378  212  2  1 97  0  0
 0  0      0 3468192  45848 966488    0    0     0     0  368  232  2  1 97  0  0
 0  0      0 3468192  45848 966488    0    0     0     0  385  172  2  0 98  0  0
 0  0      0 3468192  45848 966488    0    0     0     0  401  217  1  1 98  0  0
 0  0      0 3468192  45848 966488    0    0     0     0  386  188  1  1 98  0  0
 2  0      0 3454572  45856 980316    0    0 13804     0 1467  315  0 23 73  4  0
 1  0      0 3449544  45856 982084    0    0  1776    28 7655  613  1 68 28  3  0
 1  0      0 3443880  45856 987052    0    0  4940     0 7318  558  2 67 23  7  0
 1  0      0 3444744  45856 987052    0    0     0     0 5459  536  0 63 37  0  0
 0  0      0 3447656  45856 987056    0    0     0     0 8462  625  4 70 26  0  0
