timeStamp,elapsed,label,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1638206652581,16,Small ,Text_Requires 1-1,text,true,66010,140,1,1,13,0,8
1638206652725,26,Medium,Text_Requires 1-1,text,true,581702,141,1,1,4,0,0
1638206652875,4,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206653025,23,Medium,Text_Requires 1-1,text,true,581702,141,1,1,5,0,0
1638206653175,21,Medium,Text_Requires 1-1,text,true,581702,141,1,1,3,0,0
1638206653325,78,Large,Text_Requires 1-1,text,true,1253904,140,1,1,3,0,0
1638206653475,90,Large,Text_Requires 1-1,text,true,1253904,140,1,1,7,0,0
1638206653625,70,Large,Text_Requires 1-1,text,true,1253904,140,1,1,5,0,0
1638206653775,57,Large,Text_Requires 1-1,text,true,1253904,140,1,1,2,0,0
1638206653925,5,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206654075,3,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206654225,21,Medium,Text_Requires 1-1,text,true,581702,141,1,1,5,0,0
1638206654375,38,Medium,Text_Requires 1-1,text,true,581702,141,1,1,2,0,0
1638206654525,38,Large,Text_Requires 1-1,text,true,1253904,140,1,1,7,0,0
1638206654675,65,Large,Text_Requires 1-1,text,true,1253904,140,1,1,3,0,0
1638206654825,40,Medium,Text_Requires 1-1,text,true,581702,141,1,1,7,0,0
1638206654975,11,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206655125,4,Small ,Text_Requires 1-1,text,true,66009,140,1,1,3,0,0
1638206655276,32,Large,Text_Requires 1-1,text,true,1253904,140,1,1,1,0,0
1638206655426,48,Medium,Text_Requires 1-1,text,true,581702,141,1,1,1,0,0
1638206655575,15,Medium,Text_Requires 1-1,text,true,581702,141,1,1,4,0,0
1638206655725,45,Large,Text_Requires 1-1,text,true,1253904,140,1,1,3,0,0
1638206655875,6,Small ,Text_Requires 1-1,text,true,66009,140,1,1,3,0,0
1638206656025,42,Large,Text_Requires 1-1,text,true,1253904,140,1,1,6,0,0
1638206656175,2,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206656326,2,Small ,Text_Requires 1-1,text,true,66009,140,1,1,1,0,0
1638206656475,31,Medium,Text_Requires 1-1,text,true,581702,141,1,1,2,0,0
1638206656625,3,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206656776,37,Large,Text_Requires 1-1,text,true,1253904,140,1,1,2,0,0
1638206656925,60,Large,Text_Requires 1-1,text,true,1253904,140,1,1,2,0,0
1638206657076,19,Medium,Text_Requires 1-1,text,true,581702,141,1,1,2,0,0
1638206657226,52,Large,Text_Requires 1-1,text,true,1253904,140,1,1,1,0,0
1638206657376,30,Medium,Text_Requires 1-1,text,true,581702,141,1,1,7,0,0
1638206657525,61,Large,Text_Requires 1-1,text,true,1253904,140,1,1,2,0,0
1638206657675,3,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206657826,4,Small ,Text_Requires 1-1,text,true,66009,140,1,1,3,0,0
1638206657975,23,Medium,Text_Requires 1-1,text,true,581702,141,1,1,6,0,0
1638206658135,39,Large,Text_Requires 1-1,text,true,1253904,140,1,1,6,0,0
1638206658277,4,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206658426,20,Medium,Text_Requires 1-1,text,true,581702,141,1,1,2,0,0
1638206658581,44,Medium,Text_Requires 1-1,text,true,581702,141,1,1,3,0,0
1638206658726,44,Large,Text_Requires 1-1,text,true,1253904,140,1,1,1,0,0
1638206658880,4,Small ,Text_Requires 1-1,text,true,66009,140,1,1,2,0,0
1638206659026,37,Large,Text_Requires 1-1,text,true,1253904,140,1,1,2,0,0
1638206659186,75,Large,Text_Requires 1-1,text,true,1253904,140,1,1,4,0,0
1638206659327,95,Large,Text_Requires 1-1,text,true,1253904,140,1,1,1,0,0
1638206659477,69,Large,Text_Requires 1-1,text,true,1253904,140,1,1,3,0,0
1638206659627,46,Small ,Text_Requires 1-1,text,true,66009,140,1,1,44,0,0
1638206659777,203,Large,Text_Requires 1-1,text,true,1253904,140,1,1,3,0,0
1638206659981,42,Medium,Text_Requires 1-1,text,true,581702,141,1,1,2,0,0
