r;b;swpd;free;buff;cache;si;so;bi;bo;in;cs;us;sy;id;wa;st
9;0;3748;552820;58508;1754236;0;0;45;37;144;119;3;1;95;0;0
3;1;3748;551912;58520;1754524;0;0;45;37;144;119;3;1;95;0;0
9;0;3748;548888;58536;1754608;0;0;45;37;144;119;3;1;95;0;0
3;0;3748;550912;58564;1754680;0;0;45;37;144;119;3;1;95;0;0
3;0;3748;549148;58568;1754680;0;0;45;37;144;119;3;1;95;0;0
5;0;3748;548392;58580;1754860;0;0;45;37;144;119;3;1;95;0;0
7;0;3748;545856;58596;1754988;0;0;45;37;144;119;3;1;95;0;0
5;0;3748;543336;58620;1754996;0;0;45;37;144;119;3;1;95;0;0
9;0;3748;541060;58628;1755176;0;0;45;38;144;119;3;1;95;0;0
5;0;3748;540304;58628;1755276;0;0;45;38;144;119;3;1;95;0;0
8;0;3748;539800;58652;1755252;0;0;45;38;144;119;3;1;95;0;0
6;0;3748;538540;58652;1755452;0;0;45;38;144;119;3;1;95;0;0
6;1;3748;537232;58660;1755644;0;0;45;38;144;120;3;1;95;0;0
6;1;3748;536508;58668;1755724;0;0;45;38;144;120;3;1;95;0;0
6;1;3748;535928;58668;1755824;0;0;45;38;144;120;3;1;95;0;0
8;0;3748;535508;58684;1755908;0;0;45;38;144;120;3;1;95;0;0
4;1;3748;535248;58712;1755980;0;0;45;38;144;120;3;1;95;0;0
7;0;3748;534752;58728;1756064;0;0;45;38;144;120;3;1;95;0;0
6;0;3748;533972;58744;1756148;0;0;45;38;144;120;3;1;95;0;0
6;0;3748;533468;58764;1756228;0;0;45;38;144;120;4;1;95;0;0
5;0;3748;533188;58796;1756396;0;0;45;38;144;120;4;1;95;0;0
5;1;3748;532948;58812;1756492;0;0;45;38;144;120;4;1;95;0;0
5;1;3748;534160;58812;1756692;0;0;45;38;144;120;4;1;95;0;0
5;0;3748;533944;58840;1756764;0;0;45;38;144;120;4;1;95;0;0
10;0;3748;538256;58868;1756936;0;0;45;38;144;120;4;1;95;0;0
6;0;3748;538272;58892;1756912;0;0;45;38;144;120;4;1;95;0;0
3;0;3748;538272;58924;1756980;0;0;45;38;144;120;4;1;95;0;0
7;0;3748;536516;58948;1756956;0;0;45;38;144;120;4;1;95;0;0
6;2;3748;534500;58956;1757048;0;0;45;38;144;120;4;1;95;0;0
5;0;3748;532248;58976;1757192;0;0;45;38;144;120;4;1;95;0;0
8;0;3748;531972;58988;1757180;0;0;45;38;144;120;4;1;95;0;0
9;0;3748;531696;58996;1757240;0;0;45;38;144;120;4;1;95;0;0
8;0;3748;530720;59012;1757224;0;0;45;38;144;120;4;1;95;0;0
5;0;3748;529948;59036;1757200;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;528680;59048;1757188;0;0;45;38;145;120;4;1;95;0;0
8;0;3748;528176;59052;1757284;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;527908;59076;1757300;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;527176;59104;1757304;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;526932;59124;1757284;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;526192;59140;1757268;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;526104;59152;1757304;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;525624;59156;1757300;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;525376;59168;1757288;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;526636;59196;1757360;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;526864;59200;1757432;0;0;45;38;145;120;4;1;95;0;0
2;0;3748;532920;59204;1757428;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;532916;59220;1757412;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;532780;59228;1757404;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;532736;59256;1757376;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;533036;59276;1757356;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;533328;59288;1757344;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;532952;59300;1757440;0;0;45;38;145;120;4;1;95;0;0
4;1;3748;532924;59304;1757436;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;533248;59320;1757420;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;533240;59320;1757420;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;532964;59352;1757388;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;532964;59376;1757364;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;532964;59392;1757448;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;532636;59408;1757432;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;532836;59424;1757488;0;0;45;38;145;120;4;1;95;0;0
